Cliente: Ned
CC: 543
Monto: 100.0
Plazo: 24.0
Tasa mensual: 10.0(%)

Año amortización: 1

Mes	Interés a pagar	Abono a capital	Saldo Obligación
1  	10.0           	1.12           	98.87           	
2  	9.88           	1.24           	97.62           	
3  	9.76           	1.36           	96.25           	
4  	9.62           	1.5            	94.75           	
5  	9.47           	1.65           	93.1            	
6  	9.31           	1.81           	91.28           	
7  	9.12           	2.0            	89.27           	
8  	8.92           	2.2            	87.07           	
9  	8.7            	2.42           	84.65           	
10 	8.46           	2.66           	81.99           	
11 	8.19           	2.93           	79.06           	
12 	7.9            	3.22           	75.83           	

Año amortización: 2

Mes	Interés a pagar	Abono a capital	Saldo Obligación
13 	7.58           	3.54           	72.28           	
14 	7.22           	3.9            	68.38           	
15 	6.83           	4.29           	64.09           	
16 	6.4            	4.72           	59.37           	
17 	5.93           	5.19           	54.18           	
18 	5.41           	5.71           	48.47           	
19 	4.84           	6.28           	42.19           	
20 	4.21           	6.91           	35.28           	
21 	3.52           	7.6            	27.67           	
22 	2.76           	8.36           	19.31           	
23 	1.93           	9.19           	10.11           	
24 	1.01           	10.11          	0.0             	
